# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 40, mean observations per image: 1477.504854368932
0 0.707107 0.707107 0.000000 0.000000 0.205432 -2.297098 3.992782 1 00000.png

1 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00001.png

2 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00002.png

3 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00003.png

4 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00004.png

5 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00005.png

6 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00006.png

7 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00007.png

8 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00008.png

9 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00009.png

10 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00010.png

11 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00011.png

12 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00012.png

13 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00013.png

14 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00014.png

15 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00015.png

16 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00016.png

17 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00017.png

18 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00018.png

19 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00019.png

20 0.707107 0.707107 0.000000 0.000000 0.000000 -7.000000 11.269690 1 00020.png

