# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 40, mean observations per image: 1477.504854368932
117 0.711501 0.702983 0.015869 0.014501 5.968348 25.186063 3.500000 1 00097.png

118 0.711501 0.702983 0.015869 0.014501 5.859259 25.297072 3.500000 1 00098.png

119 0.711501 0.702983 0.015869 0.014501 5.768346 25.401520 3.500000 1 00099.png

120 0.711501 0.702983 0.015869 0.014501 5.623708 25.485964 3.500000 1 00100.png

121 0.711501 0.702983 0.015869 0.014501 5.513786 25.579507 3.500000 1 000101.png

122 0.711501 0.702983 0.015869 0.014501 5.414786 25.651620 3.500000 1 000102.png

123 0.711501 0.702983 0.015869 0.014501 5.313806 25.742510 3.500000 1 000103.png

124 0.711501 0.702983 0.015869 0.014501 5.213810 25.923053 3.500000 1 000104.png

125 0.711501 0.702983 0.015869 0.014501 5.113786 25.941500 3.500000 1 000105.png

126 0.711501 0.702983 0.015869 0.014501 5.068349 26.041490 3.500000 1 000106.png

127 0.711501 0.702983 0.015869 0.014501 4.912806 26.212489 3.500000 1 000107.png

128 0.711501 0.702983 0.015869 0.014501 4.823849 26.262410 3.500000 1 000108.png

129 0.711501 0.702983 0.015869 0.014501 4.735705 26.340509 3.500000 1 000109.png

130 0.711501 0.702983 0.015869 0.014501 4.622695 26.451060 3.500000 1 000110.png

131 0.711501 0.702983 0.015869 0.014501 4.523686 26.605153 3.500000 1 000111.png

132 0.711501 0.702983 0.015869 0.014501 4.414595 26.661500 3.500000 1 000112.png

133 0.711501 0.702983 0.015869 0.014501 4.313605 26.742510 3.500000 1 000113.png

134 0.711501 0.702983 0.015869 0.014501 4.204696 26.899244 3.500000 1 000114.png

135 0.711501 0.702983 0.015869 0.014501 4.138355 26.932471 3.500000 1 000115.png

136 0.711501 0.702983 0.015869 0.014501 4.068346 27.042510 3.500000 1 000116.png

137 0.711501 0.702983 0.015869 0.014501 3.958257 27.126171 3.500000 1 000117.png

138 0.711501 0.702983 0.015869 0.014501 3.838355 27.242471 3.500000 1 000118.png

139 0.711501 0.702983 0.015869 0.014501 3.769355 27.332471 3.500000 1 000119.png

140 0.711501 0.702983 0.015869 0.014501 3.638355 27.432471 3.500000 1 000120.png

141 0.711501 0.702983 0.015869 0.014501 3.538355 27.566168 3.500000 1 000121.png

142 0.711501 0.702983 0.015869 0.014501 3.414796 27.696062 3.500000 1 000122.png

143 0.711501 0.702983 0.015869 0.014501 3.304686 27.742510 3.500000 1 000123.png

144 0.711501 0.702983 0.015869 0.014501 3.203685 27.842510 3.500000 1 000124.png

145 0.711501 0.702983 0.015869 0.014501 3.168346 27.941500 3.500000 1 000125.png

146 0.711501 0.702983 0.015869 0.014501 3.038355 28.041601 3.500000 1 000126.png

