# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 40, mean observations per image: 1477.504854368932
57 0.714468 0.699646 0.002177 -0.005021 -0.240083 -4.039689 3.500000 1 00038.png

58 0.714468 0.699646 0.002177 -0.005021 -0.040083 -5.243941 3.500000 1 00039.png

59 0.714468 0.699646 0.002177 -0.005021 -0.040083 -5.743941 3.500000 1 00040.png

60 0.714468 0.699646 -0.005021 0.002177 -0.760489 -2.275547 3.500000 1 00041.png

61 0.711501 0.702983 0.015869 0.014501 10.346660 16.518180 3.500000 1 00042.png

62 0.711501 0.702983 0.015869 0.014501 10.172660 16.618180 3.500000 1 00043.png

63 0.711501 0.702983 0.015869 0.014501 10.039660 16.818180 3.500000 1 00044.png

64 0.711501 0.702983 0.015869 0.014501 9.817160 16.883180 3.500000 1 00045.png

65 0.711501 0.702983 0.015869 0.014501 9.781930 16.932255 3.500000 1 00046.png

66 0.711501 0.702983 0.015869 0.014501 9.739930 17.002555 3.500000 1 00047.png

67 0.711501 0.702983 0.015869 0.014501 9.661474 17.186322 3.500000 1 00048.png

68 0.711501 0.702983 0.015869 0.014501 9.589231 17.218180 3.500000 1 00049.png

69 0.711501 0.702983 0.015869 0.014501 9.500681 17.286219 3.500000 1 00050.png

70 0.711501 0.702983 0.015869 0.014501 9.429958 17.354978 3.500000 1 00051.png

71 0.711501 0.702983 0.015869 0.014501 9.374380 17.422941 3.500000 1 00052.png

72 0.711501 0.702983 0.015869 0.014501 9.367051 17.481941 3.500000 1 00053.png

73 0.711501 0.702983 0.015869 0.014501 9.299933 17.521952 3.500000 1 00054.png

74 0.711501 0.702983 0.015869 0.014501 9.250664 17.592961 3.500000 1 00055.png

75 0.711501 0.702983 0.015869 0.014501 9.160003 17.627501 3.500000 1 00056.png

76 0.711501 0.702983 0.015869 0.014501 9.084380 17.692925 3.500000 1 00057.png

77 0.711501 0.702983 0.015869 0.014501 9.027931 17.719311 3.500000 1 00058.png

78 0.711501 0.702983 0.015869 0.014501 8.989681 17.786429 3.500000 1 00059.png

79 0.711501 0.702983 0.015869 0.014501 8.964388 17.819971 3.500000 1 00060.png

80 0.711501 0.702983 0.015869 0.014501 8.891471 17.892709 3.500000 1 00061.png

81 0.711501 0.702983 0.015869 0.014501 8.860992 17.920413 3.500000 1 00062.png

82 0.711501 0.702983 0.015869 0.014501 8.787463 18.081941 3.500000 1 00063.png

83 0.711501 0.702983 0.015869 0.014501 8.747463 18.161941 3.500000 1 00064.png

84 0.711501 0.702983 0.015869 0.014501 8.677463 18.214470 3.500000 1 00065.png

